26. July 2010 | 13:23:09 | - SpawnKill = 3
26. July 2010 | 13:23:09 | - CapsLock = 0
26. July 2010 | 13:23:09 | - 3DSpeed = 0
26. July 2010 | 13:23:09 | - MaxSpeed = 220
26. July 2010 | 13:23:09 | - AdminImmunity = 1
26. July 2010 | 13:23:09 | - Advertisement = 1
26. July 2010 | 13:23:09 | - FreezeUpdate = 0
26. July 2010 | 13:23:09 | - SpawnTime = 10
26. July 2010 | 13:23:09 | - CheckpointTeleport = 1
26. July 2010 | 13:23:09 | - Airbreak = 1
26. July 2010 | 13:23:09 | - TankMode = 1
26. July 2010 | 13:23:09 | - WarnPlayers = 0
26. July 2010 | 13:23:09 | 1 IP-bans have been loaded.
26. July 2010 | 13:23:09 | 1 temporary bans have been loaded.
26. July 2010 | 13:23:09 | 5 whitelist entries have been loaded.
26. July 2010 | 13:23:09 | 4 blacklist entries have been loaded.
26. July 2010 | 13:23:09 | 41 bad words have been loaded.
26. July 2010 | 13:23:09 | 4 forbidden weapons have been loaded.
26. July 2010 | 13:23:09 | JunkBuster has been configurated.
26. July 2010 | 13:23:09 | JunkBuster has successfully been loaded.
28. July 2010 | 18:38:18 | Current JunkBuster configuration:
28. July 2010 | 18:38:18 | - WeaponHack = 1
28. July 2010 | 18:38:18 | - MoneyHack = 1
28. July 2010 | 18:38:18 | - Jetpack = 1
28. July 2010 | 18:38:18 | - HealthHack = 1
28. July 2010 | 18:38:18 | - ArmourHack = 1
28. July 2010 | 18:38:18 | - DriveBy = 1
28. July 2010 | 18:38:18 | - Spam = 0
28. July 2010 | 18:38:18 | - CommandSpam = 0
28. July 2010 | 18:38:18 | - BadWords = 0
28. July 2010 | 18:38:18 | - CarJackHack = 1
28. July 2010 | 18:38:18 | - TeleportHack = 1
28. July 2010 | 18:38:18 | - MaxPing = 500
28. July 2010 | 18:38:18 | - SpectateHack = 0
28. July 2010 | 18:38:18 | - Blacklist = 1
28. July 2010 | 18:38:18 | - IpBans = 1
28. July 2010 | 18:38:18 | - TempBans = 1
